Algo,Size,Run,Energy_J,Time_s
matmul_plain,64,1,18.42,2.320029115
matmul_plain,64,2,16.20,2.266124092
matmul_plain,64,3,15.81,2.261159399
matmul_plain,64,4,17.72,2.284263747
matmul_plain,64,5,21.17,2.347118603
matmul_plain,64,6,16.59,2.304519935
matmul_plain,64,7,16.69,2.297572441
matmul_plain,64,8,17.05,2.262717617
matmul_plain,64,9,17.22,2.325227428
matmul_plain,64,10,18.28,2.289983036
matmul_plain,128,1,17.55,2.173397193
matmul_plain,128,2,16.88,2.138228118
matmul_plain,128,3,17.77,2.130686477
matmul_plain,128,4,18.02,2.130624078
matmul_plain,128,5,17.50,2.133657798
matmul_plain,128,6,17.78,2.169599326
matmul_plain,128,7,18.92,2.140017564
matmul_plain,128,8,17.13,2.138148027
matmul_plain,128,9,17.11,2.112065004
matmul_plain,128,10,17.44,2.128500328
matmul_plain,256,1,39.34,3.614684873
matmul_plain,256,2,39.95,3.651613489
matmul_plain,256,3,41.13,3.710155277
matmul_plain,256,4,39.56,3.659649156
matmul_plain,256,5,39.78,3.668145831
matmul_plain,256,6,39.59,3.637265958
matmul_plain,256,7,39.52,3.651612884
matmul_plain,256,8,39.28,3.658820736
matmul_plain,256,9,40.00,3.646556154
matmul_plain,256,10,42.02,3.660982896
matmul_plain,512,1,95.89,9.641347718
matmul_plain,512,2,69.61,8.275676809
matmul_plain,512,3,78.25,8.268441345
matmul_plain,512,4,67.75,7.430683506
matmul_plain,512,5,78.13,7.831303026
matmul_plain,512,6,78.14,7.848015695
matmul_plain,512,7,79.20,7.935919180
matmul_plain,512,8,66.52,7.239978195
matmul_plain,512,9,58.92,5.831728714
matmul_plain,512,10,81.53,7.945047750
matmul_zfp,64,1,6.56,.979760304
matmul_zfp,64,2,6.11,.983969791
matmul_zfp,64,3,5.94,.976250088
matmul_zfp,64,4,5.92,.988240561
matmul_zfp,64,5,6.20,.975084799
matmul_zfp,64,6,5.89,.982472422
matmul_zfp,64,7,5.83,.985245683
matmul_zfp,64,8,6.13,.998695915
matmul_zfp,64,9,5.92,.984382124
matmul_zfp,64,10,6.00,.990439455
matmul_zfp,128,1,6.88,.686627537
matmul_zfp,128,2,6.22,.652852722
matmul_zfp,128,3,6.78,.646824906
matmul_zfp,128,4,7.72,.644271640
matmul_zfp,128,5,6.73,.695291589
matmul_zfp,128,6,6.92,.655546101
matmul_zfp,128,7,6.89,.639419636
matmul_zfp,128,8,6.38,.654029725
matmul_zfp,128,9,6.28,.698832618
matmul_zfp,128,10,7.14,.654924325
matmul_zfp,256,1,17.39,2.074719481
matmul_zfp,256,2,18.02,2.070036477
matmul_zfp,256,3,19.89,2.055949970
matmul_zfp,256,4,17.08,2.061977649
matmul_zfp,256,5,16.92,2.041389791
matmul_zfp,256,6,19.25,2.094658976
matmul_zfp,256,7,16.98,2.053405968
matmul_zfp,256,8,18.52,2.039346996
matmul_zfp,256,9,16.92,2.062862264
matmul_zfp,256,10,17.02,2.042834662
matmul_zfp,512,1,46.75,4.726296311
matmul_zfp,512,2,45.23,4.727024701
matmul_zfp,512,3,36.48,3.897826083
matmul_zfp,512,4,46.75,4.746549216
matmul_zfp,512,5,45.75,4.698818301
matmul_zfp,512,6,37.47,4.443861240
matmul_zfp,512,7,50.59,5.202679157
matmul_zfp,512,8,70.58,5.599537833
matmul_zfp,512,9,36.20,3.999881801
matmul_zfp,512,10,45.44,4.608704606
matmul_sz,64,1,32.06,4.379545555
matmul_sz,64,2,36.13,4.080518690
matmul_sz,64,3,35.61,4.003433184
matmul_sz,64,4,36.06,4.049017342
matmul_sz,64,5,36.05,3.928453434
matmul_sz,64,6,35.72,3.971574964
matmul_sz,64,7,35.66,3.899177014
matmul_sz,64,8,37.77,3.988354447
matmul_sz,64,9,35.48,3.945622368
matmul_sz,64,10,37.59,3.985512737
matmul_sz,128,1,6.56,1.032200387
matmul_sz,128,2,6.97,1.051322875
matmul_sz,128,3,6.44,1.016301810
matmul_sz,128,4,6.27,1.036301751
matmul_sz,128,5,7.20,1.025043920
matmul_sz,128,6,6.23,1.161645492
matmul_sz,128,7,6.36,1.016732149
matmul_sz,128,8,8.48,1.068239126
matmul_sz,128,9,6.28,1.008961958
matmul_sz,128,10,6.78,1.041811024
matmul_sz,256,1,17.03,2.207792075
matmul_sz,256,2,16.91,2.232446780
matmul_sz,256,3,17.66,2.259835670
matmul_sz,256,4,17.33,2.256513052
matmul_sz,256,5,17.75,2.225229497
matmul_sz,256,6,17.66,2.246926020
matmul_sz,256,7,17.06,2.177537524
matmul_sz,256,8,17.25,2.227244203
matmul_sz,256,9,16.75,2.236677934
matmul_sz,256,10,16.75,2.221605775
matmul_sz,512,1,36.53,4.419314185
matmul_sz,512,2,35.75,4.363695444
matmul_sz,512,3,37.09,4.254354823
matmul_sz,512,4,36.17,4.310661555
matmul_sz,512,5,36.22,4.031250861
matmul_sz,512,6,36.39,3.923209260
matmul_sz,512,7,36.30,4.089825364
matmul_sz,512,8,46.78,4.955255275
matmul_sz,512,9,37.47,4.199859833
matmul_sz,512,10,45.72,4.515684063
